_str_code	_str_code	_str_code	_str_code	BOOL	int	int	_itm_code	int	_itm_code	int	_itm_code	int	int	_str_code	END
dm_code	link_map	link_dm	active_map	NeedConCheck	NeedChrLevel	UpperLevelLim	NeedItem1	NeedItmCount1	NeedItem2	NeedItmCount2	NeedItem3	NeedItmCount3	dummy_type	use_race	
더미_식별코드	연결맵	연결더미	이동할_맵	필요아이템여부	필요캐릭터레벨	상위레벨제한	필요아이템1	아이템1소모수	필요아이템2	아이템2소모수	필요아이템3	아이템3소모수	사용가능더미	사용가능종족	
dpstart	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001	
dpgoto_accretia_HQ	NeutralA	dpfrom_accretia_camp	제국군_점령지구HQ	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_accretia_camp	NeutralA	dpfrom_accretia_HQ	제국군_점령지구_전진캠프	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_resources	resources	dpfrom_accretia_portal	크래그광산_제국군_포탈	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_neutralas1_town	NeutralAS1	dpfrom_town	Armory-213	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_neutralas2_town	NeutralAS2	dpfrom_town	Armory-117	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_neutralas2	NeutralAS2	dpfrom_neutrala	중립조계지역(Amory-117방향)	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_transport01	Transport01	dpfrom_neutrala	카르텔라호_탑승	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpgoto_Sette	Sette	dpfrom_accretia_hq	세트사막	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001	
dpfrom_transport01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001	
dpfrom_neutralas2	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111	
dpfrom_accretia_HQ	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001	
dpfrom_accretia_camp	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001	
dpfrom_resources	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001
dpfrom_Sette	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001
dpfrom_elan_accretia	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00001
dp_zanr01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	2	00001
dp_zanb01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	2	00001
dp_ganh01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	00001
dp_ganh02	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	00001
dp_ganh03	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	00001
dp_bdac01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00001
