_str_code	_str_code	_str_code	_str_code	BOOL	int	int	_itm_code	int	_itm_code	int	_itm_code	int	int	_str_code	END
dm_code	link_map	link_dm	active_map	NeedConCheck	NeedChrLevel	UpperLevelLim	NeedItem1	NeedItmCount1	NeedItem2	NeedItmCount2	NeedItem3	NeedItmCount3	dummy_type	use_race	
더미_식별코드	연결맵	연결더미	이동할_맵	필요아이템여부	필요캐릭터레벨	상위레벨제한	필요아이템1	아이템1소모수	필요아이템2	아이템2소모수	필요아이템3	아이템3소모수	사용가능더미	사용가능종족	
dpgoto_bellato_HQ	NeutralB	dpfrom_bellato_camp	연방군_점령지구HQ	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_bellato_camp	NeutralB	dpfrom_bellato_HQ	연방군_점령지구_전진캠프	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_resources	resources	dpfrom_bellato_portal	크래그광산_연방군_포탈	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_neutralbs1_town	NeutralBS1	dpfrom_town	솔루스_조계지	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_neutralbs2_town	NeutralBS2	dpfrom_town	아나카데_조계지	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_neutralbs1	NeutralBS1	dpfrom_neutralb	솔루스섹터_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_transport01	Transport01	dpfrom_neutralb	카르텔라호_탑승	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpgoto_Sette	Sette	dpfrom_bellato_HQ 	세트사막	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000	
dpfrom_transport01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000	
dpfrom_neutralbs1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111	
dpfrom_bellato_HQ	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000	
dpfrom_bellato_camp	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000	
dpfrom_resources	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000	
dpfrom_Sette	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000
dpfrom_elan_bellato	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11000
dp_zbnr01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	2	11000
dp_zbnb01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	2	11000
dp_gbnh01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	11000
dp_gbnh02	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	11000
dp_gbnh03	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	3	11000
dp_bdbl01	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11000
