_str_code	_str_code	_str_code	_str_code	BOOL	int	int	_itm_code	int	_itm_code	int	_itm_code	int	int	_str_code	END
dm_code	link_map	link_dm	active_map	NeedConCheck	NeedChrLevel	UpperLevelLim	NeedItem1	NeedItmCount1	NeedItem2	NeedItmCount2	NeedItem3	NeedItmCount3	dummy_type	use_race	
더미_식별코드	연결맵	연결더미	이동할_맵	필요아이템여부	필요캐릭터레벨	상위레벨제한	필요아이템1	아이템1소모수	필요아이템2	아이템2소모수	필요아이템3	아이템3소모수	사용가능더미	사용가능종족	
dpgoto_neutralcs2_town	NeutralCS2	dpfrom_town	누메러스성채	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00110	
dpgoto_cora_HQ	NeutralC	dpfrom_cora_camp	동맹군_점령지구HQ	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00110	
dpgoto_resources	resources	dpfrom_cora_portal	크래그광산동맹군_포탈	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00110	
dpgoto_neutralas2	NeutralAS2	dpfrom_neutralcs1	Armor-117간_통로	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_neutralc	NeutralC	dpfrom_neutralcs1	동맹군점령지구_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	00110	
dpgoto_neutralcs2a	NeutralCS2	dpfrom_neutralcs1a	누메러스섹터_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_neutralcs2b	NeutralCS2	dpfrom_neutralcs1c	누메러스섹터_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_neutralcs2c	NeutralCS2	dpfrom_neutralcs1b	누메러스섹터_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_resources_road	resources	dpfrom_neutralcs1_road	크래그광산_방향	0	-1	-1	-1	-1	-1	-1	-1	-1	1	11111	
dpgoto_cora	Cora	dpfrom_haram	길드_던전	0	45	-1	-1	-1	-1	-1	-1	-1	1	00110	
dpfrom_resources_road	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111	
dpfrom_neutralas2	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111	
dpfrom_neutralc	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111	
dpfrom_neutralcs2a	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111
dpfrom_neutralcs2b	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111
dpfrom_neutralcs2c	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	11111
dpfrom_town	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00110
dpfrom_cora	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	00110
