_str_code	_str_code	_str_code	_str_code	int	_str_code	END
dm_code	link_map	link_dm	active_map	dummy_type	use_race	
더미_식별코드	연결맵	연결더미	이동할_맵	사용가능더미	사용가능종족	
dpgoto_accretia_HQ	NeutralA	dpfrom_resources	제국군_점령지구HQ	1	00001	
dpgoto_bellato_HQ	NeutralB	dpfrom_resources	연방군_점령지구HQ	1	11000	
dpgoto_cora_HQ	NeutralC	dpfrom_resources	동맹군_점령지구HQ	1	00110	
dpgoto_neutralcs1_town	NeutralCS1	dpfrom_town	하람_성채	1	00110	
dpgoto_neutralbs1_town	NeutralBS1	dpfrom_town	솔루스_조계지	1	11000	
dpgoto_neutralas1_town	NeutralAS1	dpfrom_town	Armory-213	1	00001	
dpgoto_neutralcs1_road	NeutralCS1	dpfrom_resources_road	하람섹터_방향	1	11111	
dpgoto_neutralbs1_road	NeutralBS1	dpfrom_resources_road	솔루스섹터_방향	1	11111	
dpgoto_neutralas1_road	NeutralAS1	dpfrom_resources_road	213섹터_방향	1	11111	
dpfrom_neutralcs1_road	0	0	0	0	11111	
dpfrom_neutralbs1_road	0	0	0	0	11111	
dpfrom_neutralas1_road	0	0	0	0	11111	
dpfrom_accretia_portal	0	0	0	0	00001	
dpfrom_bellato_portal	0	0	0	0	11000
dpfrom_cora_portal	0	0	0	0	00110
dpmine	0	0	0	0	11111
dpfrom_town	0	0	0	0	11111
